"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_drow_ranger_multi_damage_small_02"	"I'll do what I can!"
"DCG_VO_drow_ranger_multi_damage_small_03"	"Keep the pressure on!"
"DCG_VO_drow_ranger_multi_damage_small_04"	"We can chip away at them!"
"DCG_VO_drow_ranger_multi_damage_small_05"	"Let's see Wind Ranger do that!"
"DCG_VO_drow_ranger_multi_damage_small_06"	"Let me show you what I can do..."
"DCG_VO_drow_ranger_multi_damage_small_07"	"Let the arrows fall!"
"DCG_VO_drow_ranger_multi_damage_small_08"	"I'll whittle them down."
"DCG_VO_drow_ranger_multi_damage_small_09"	"Just give me a little time..."
"DCG_VO_drow_ranger_multi_damage_small_10"	"I can take these guys..."
"DCG_VO_drow_ranger_multi_damage_large_01"	"It's over."
"DCG_VO_drow_ranger_multi_damage_large_02"	"I got this."
"DCG_VO_drow_ranger_multi_damage_large_03"	"You guys are out of your league."
"DCG_VO_drow_ranger_multi_damage_large_04"	"I'll take you all on!"
"DCG_VO_drow_ranger_multi_damage_large_05"	"This ends now!"
"DCG_VO_drow_ranger_multi_damage_large_06"	"This ends here!"
"DCG_VO_drow_ranger_multi_damage_large_07"	"I don't care how many there are!"
"DCG_VO_drow_ranger_multi_damage_large_08"	"We're not going anywhere..."
"DCG_VO_drow_ranger_multi_damage_large_09"	"You'll have to bring more friends...."
"DCG_VO_drow_ranger_multi_damage_large_10"	"You were always outclassed"
"DCG_VO_drow_ranger_pleased_01"	"Good."
"DCG_VO_drow_ranger_pleased_02"	"I like it."
"DCG_VO_drow_ranger_pleased_03"	"Excellent."
"DCG_VO_drow_ranger_pleased_04"	"This couldn't be going better."
"DCG_VO_drow_ranger_pleased_05"	"This made my day."
"DCG_VO_drow_ranger_pleased_06"	"Hmm."
"DCG_VO_drow_ranger_pleased_07"	"Not bad."
"DCG_VO_drow_ranger_pleased_08"	"I'm impressed..."
"DCG_VO_drow_ranger_pleased_09"	"You're not useless after all..."
"DCG_VO_drow_ranger_pleased_10"	"I'll take it."
"DCG_VO_drow_ranger_concerned_01"	"Hmm..."
"DCG_VO_drow_ranger_concerned_02"	"This doesn't look good."
"DCG_VO_drow_ranger_concerned_03"	"I don't know about this..."
"DCG_VO_drow_ranger_concerned_04"	"This isn't exactly how I planned this going..."
"DCG_VO_drow_ranger_concerned_05"	"We appear to be losing..."
"DCG_VO_drow_ranger_concerned_06"	"We need a new plan..."
"DCG_VO_drow_ranger_concerned_07"	"This is bad..."
"DCG_VO_drow_ranger_concerned_08"	"I didn't see this coming..."
"DCG_VO_drow_ranger_concerned_09"	"Not good."
"DCG_VO_drow_ranger_concerned_10"	"Think, Traxex..."
"DCG_VO_drow_ranger_angry_01"	"Damn it!"
"DCG_VO_drow_ranger_angry_02"	"This isn't over!"
"DCG_VO_drow_ranger_angry_03"	"How dare you!"
"DCG_VO_drow_ranger_angry_04"	"You'll pay for that!"
"DCG_VO_drow_ranger_angry_05"	"You dare?!"
"DCG_VO_drow_ranger_angry_06"	"You'll regret coming here!"
"DCG_VO_drow_ranger_angry_07"	"That's the last mistake you'll make!"
"DCG_VO_drow_ranger_angry_08"	"You have much to answer for..."
"DCG_VO_drow_ranger_angry_09"	"I'm going to take my time with you..."
"DCG_VO_drow_ranger_angry_10"	"I look forward to making you suffer..."
"DCG_VO_drow_ranger_arrogant_01"	"Do you know who I am?"
"DCG_VO_drow_ranger_arrogant_02"	"No one is better than me."
"DCG_VO_drow_ranger_arrogant_03"	"Let's see Wind Ranger do better..."
"DCG_VO_drow_ranger_arrogant_04"	"I make this look easy."
"DCG_VO_drow_ranger_arrogant_05"	"They could at least try..."
"DCG_VO_drow_ranger_arrogant_06"	"I thought there was going to be a challenge..."
"DCG_VO_drow_ranger_arrogant_07"	"One day I'll find a real challenge..."
"DCG_VO_drow_ranger_arrogant_08"	"Try and keep up."
"DCG_VO_drow_ranger_arrogant_09"	"You obviously don't know who I am..."
"DCG_VO_drow_ranger_arrogant_10"	"Let me show you who you're messing with..."
"DCG_VO_drow_ranger_enigmatic_01"	"The wind whispers..."
"DCG_VO_drow_ranger_enigmatic_02"	"I'm no stranger to the frost..."
"DCG_VO_drow_ranger_enigmatic_03"	"Sometimes power demands sacrifice."
"DCG_VO_drow_ranger_enigmatic_04"	"I'm not proud of this."
"DCG_VO_drow_ranger_enigmatic_05"	"I had no choice."
"DCG_VO_drow_ranger_enigmatic_06"	"It's you or me."
"DCG_VO_drow_ranger_enigmatic_07"	"This is just a taste of what I can do."
"DCG_VO_drow_ranger_enigmatic_08"	"You have no idea what I'm capable of."
"DCG_VO_drow_ranger_enigmatic_09"	"Trust me, you're getting off easy."
"DCG_VO_drow_ranger_enigmatic_10"	"This is only the beginning..."
"DCG_VO_drow_ranger_death_01"	"<i>Screams</i>"
"DCG_VO_kanna_intro"	"I am a woman of my word. I promised my mother that I would find a way to fix my frail body, and I found salvation in the Dire. In exchange I promised the Dire a mighty army... and here you stand. And on the day we built this citadel I promised I would give you purpose... and you have found it in the glory of battle and the honor of serving The Dire.  I am a woman of my word, and today I make a new promise: soon Prellex's body will be crushed in the rubble of her false god, and on that day you will be rewarded beyond all measure."
"DCG_VO_kanna_diabolic_revalation_intro"	"My mother speaks of the Ancients' desires - order. Peace. Devotion. But she's wrong - the Ancients demand one thing, and that's blood."
"DCG_VO_kanna_call_the_reserves_intro"	"There is no place to hide from the wrath of the Dire."
"DCG_VO_kanna_prey_on_the_weak_intro"	"There's something particularly satisfying about watching Radiant zealots run for their lives."
"DCG_VO_kanna_hound_of_war_intro"	"They smell blood, but what they track is fear."
"DCG_VO_kanna_altar_of_the_mad_moon"	"Mother sings of the Radiant's benevolence... but I've seen what the Radiant truly wants. What it is willing to do. And I will never be its slave."
"DCG_VO_kanna_annihilation"	"It is wise to fear the power of the Ancients..."
"DCG_VO_kanna_better_late_than_never"	"Prellex's army grows larger by the day. For now they're disorganized, but I know my mother. It won't take long before they're a threat."
"DCG_VO_kanna_compel"	"Some are fit to rule. Most live to obey."
"DCG_VO_kanna_equip_generic_weapon_01"	"I'm ready to fight."
"DCG_VO_kanna_equip_generic_weapon_02"	"I'll use this well."
"DCG_VO_kanna_equip_generic_weapon_03"	"Perfect."
"DCG_VO_kanna_equip_generic_weapon_04"	"I'll kill our enemies."
"DCG_VO_kanna_equip_generic_weapon_05"	"I'm not afraid of war."
"DCG_VO_kanna_equip_generic_armor_01"	"I'll lead from the front."
"DCG_VO_kanna_equip_generic_armor_02"	"I'm a survivor."
"DCG_VO_kanna_equip_generic_armor_03"	"I needed this."
"DCG_VO_kanna_equip_generic_armor_04"	"Let's see the Radiant try to hurt me now."
"DCG_VO_kanna_equip_generic_armor_05"	"We must prepare"
"DCG_VO_kanna_equip_generic_accessory_01"	"This suits me"
"DCG_VO_kanna_equip_generic_accessory_02"	"I'll make good use of this."
"DCG_VO_kanna_equip_generic_accessory_03"	"I could use this."
"DCG_VO_kanna_equip_generic_accessory_04"	"War is coming."
"DCG_VO_kanna_equip_generic_accessory_05"	"My victory draws closer"
"DCG_VO_kanna_kill_rival_01"	"Death is coming for you."
"DCG_VO_kanna_kill_rival_02"	"The Dire won't be denied."
"DCG_VO_kanna_kill_rival_03"	"Soon you will know defeat."
"DCG_VO_kanna_kill_rival_04"	"Your life is forfeit."
"DCG_VO_kanna_kill_rival_05"	"You'll make a fitting sacrifice to the dire."
"DCG_VO_kanna_kill_rival_06"	"There's no escape."
"DCG_VO_kanna_kill_rival_07"	"You can't run from the dire."
"DCG_VO_kanna_kill_rival_08"	"It's natural to feel despair."
"DCG_VO_kanna_kill_rival_09"	"You can't hide from me."
"DCG_VO_kanna_kill_rival_10"	"The Dire's power is absolute."
"DCG_VO_kanna_use_include_01"	"The weak must be stomped out."
"DCG_VO_kanna_use_include_02"	"Blood calls for blood."
"DCG_VO_kanna_use_include_03"	"wicked laughter"
"DCG_VO_kanna_unique_01"	"Are you ready to die, mother?"
"DCG_VO_kanna_unique_02"	"Goodbye Prellex."
"DCG_VO_kanna_unique_03"	"Don't read too much into this."
"DCG_VO_kanna_unique_04"	"This alliance won't last."
"DCG_VO_kanna_unique_05"	"Your death is inevitable."
"DCG_VO_kanna_unique_06"	"My people will tear you apart."
"DCG_VO_kanna_unique_07"	"Come and serve the Dire"
"DCG_VO_kanna_unique_08"	"The Dire has need of you..."
"DCG_VO_kanna_unique_09"	"Fight for the Dire and be rewarded."
"DCG_VO_kanna_unique_10"	"Come my army!"
"DCG_VO_kanna_unique_11"	"There's always a price to pay for power."
"DCG_VO_kanna_unique_12"	"The Ancients demand blood."
"DCG_VO_kanna_unique_13"	"A price only the strong are willing to pay."
"DCG_VO_kanna_unique_14"	"The strong will live and the weak will die."
"DCG_VO_kanna_unique_15"	"Sacrifices must be made."
"DCG_VO_kanna_unique_16"	"Lich, be my guest."
"DCG_VO_kanna_unique_17"	"Death has no power over us."
"DCG_VO_kanna_unique_18"	"I understand the price of power, lich."
"DCG_VO_kanna_unique_19"	"Your loyalty is appreciated Traxex."
"DCG_VO_kanna_unique_20"	"The dire accepts the Quorum's largesse."
"DCG_VO_kanna_healed_01"	"Ahhh"
"DCG_VO_kanna_healed_02"	"I needed that."
"DCG_VO_kanna_healed_03"	"Good."
"DCG_VO_kanna_healed_04"	"Excellent."
"DCG_VO_kanna_healed_05"	"I feel rested."
"DCG_VO_kanna_taunt_generic_01"	"We spill blood in the Dire's name."
"DCG_VO_kanna_taunt_generic_02"	"No one can stand against the Dire."
"DCG_VO_kanna_taunt_generic_03"	"Feel the Dire's wrath!"
"DCG_VO_kanna_taunt_generic_04"	"I will lead us to victory!"
"DCG_VO_kanna_taunt_generic_05"	"We will make them bleed."
"DCG_VO_kanna_taunt_generic_06"	"We will remake this world."
"DCG_VO_kanna_taunt_generic_07"	"My power will not be denied."
"DCG_VO_kanna_taunt_generic_08"	"The world will never forget the name 'Kanna'."
"DCG_VO_kanna_taunt_generic_09"	"The fury of the Dire is coming."
"DCG_VO_kanna_taunt_generic_10"	"Victory is at hand."
"DCG_VO_kanna_potential_kill_01"	"You can't run forever."
"DCG_VO_kanna_potential_kill_02"	"Accept your fate."
"DCG_VO_kanna_potential_kill_03"	"Death comes for you."
"DCG_VO_kanna_potential_kill_04"	"You can't stop the Dire."
"DCG_VO_kanna_potential_kill_05"	"Today you die."
"DCG_VO_kanna_potential_save_01"	"Again I cheat death."
"DCG_VO_kanna_potential_save_02"	"The dire has plans for me."
"DCG_VO_kanna_potential_save_03"	"I'm not ready to die yet."
"DCG_VO_kanna_potential_save_04"	"Death won't find me today."
"DCG_VO_kanna_potential_save_05"	"I don't think so."
"DCG_VO_kanna_permanent_armor_01"	"My toughness grows."
"DCG_VO_kanna_permanent_armor_02"	"I'm not to be trifled with."
"DCG_VO_kanna_permanent_armor_03"	"Even now I grow stronger"
"DCG_VO_kanna_permanent_armor_04"	"My body was once weak... no more."
"DCG_VO_kanna_permanent_armor_05"	"I will continue to survive."
"DCG_VO_kanna_permanent_attack_01"	"The Dire gives me strength."
"DCG_VO_kanna_permanent_attack_02"	"I've been given the means for revenge."
"DCG_VO_kanna_permanent_attack_03"	"I will kill our enemies."
"DCG_VO_kanna_permanent_attack_04"	"Blood will be spilt."
"DCG_VO_kanna_permanent_attack_05"	"My enemies will weep."
"DCG_VO_kanna_permanent_health_01"	"I will never die."
"DCG_VO_kanna_permanent_health_02"	"I've been reforged."
"DCG_VO_kanna_permanent_health_03"	"My will is stronger."
"DCG_VO_kanna_permanent_health_04"	"I gladly accept the gifts of the Dire."
"DCG_VO_kanna_permanent_health_05"	"Through the Dire all things are possible."
"DCG_VO_kanna_cast_spell_01"	"Feel my wrath."
"DCG_VO_kanna_cast_spell_02"	"Behold the power of the Dire."
"DCG_VO_kanna_cast_spell_03"	"Ha!"
"DCG_VO_kanna_cast_spell_04"	"Feel my power!"
"DCG_VO_kanna_cast_spell_05"	"Cower before the dire!"
"DCG_VO_kanna_cast_spell_06"	"The Dire works through me!"
"DCG_VO_kanna_cast_spell_07"	"I am the scion of the Dire."
"DCG_VO_kanna_cast_spell_08"	"If you're not with us you're against us!"
"DCG_VO_kanna_cast_spell_09"	"I will bring us victory!"
"DCG_VO_kanna_cast_spell_10"	"All I do is in tribute to the dire!"
"DCG_VO_kanna_death_01"	"<i>Screams</i>"
"DCG_VO_kanna_buff_ally_01"	"A gift from the Dire."
"DCG_VO_kanna_buff_ally_02"	"The Dire rewards its allies."
"DCG_VO_kanna_buff_ally_03"	"Join me and be rewarded."
"DCG_VO_kanna_buff_ally_04"	"The Dire calls to you."
"DCG_VO_kanna_buff_ally_05"	"Give yourself to the Dire."
"DCG_VO_kanna_buff_ally_06"	"Join me in service to the Dire."
"DCG_VO_kanna_buff_ally_07"	"I will show you the power the Dire brings."
"DCG_VO_kanna_buff_ally_08"	"This is just a taste of what the Dire can give you."
"DCG_VO_kanna_buff_ally_09"	"Let the Dire reforge you."
"DCG_VO_kanna_buff_ally_10"	"Give in to the Dire."
"DCG_VO_kanna_debuff_enemy_01"	"You are weak."
"DCG_VO_kanna_debuff_enemy_02"	"I'll watch you wither..."
"DCG_VO_kanna_debuff_enemy_03"	"You thought you could win?"
"DCG_VO_kanna_debuff_enemy_04"	"You're power is nothing compared to mine."
"DCG_VO_kanna_debuff_enemy_05"	"Where's your bravado now?"
"DCG_VO_kanna_debuff_enemy_06"	"You don't look so cocky now..."
"DCG_VO_kanna_debuff_enemy_07"	"Is something the matter?"
"DCG_VO_kanna_debuff_enemy_08"	"You don't look so good."
"DCG_VO_kanna_debuff_enemy_09"	"Hahahahaha"
"DCG_VO_kanna_debuff_enemy_10"	"I'm going to enjoy watching you die."
"DCG_VO_kanna_single_target_damage_01"	"You're going to die."
"DCG_VO_kanna_single_target_damage_02"	"The end is coming."
"DCG_VO_kanna_single_target_damage_03"	"Leave this one to me."
"DCG_VO_kanna_single_target_damage_04"	"Let me show you who you're dealing with."
"DCG_VO_kanna_single_target_damage_05"	"You never should have angered me."
"DCG_VO_kanna_single_target_damage_06"	"This won't take long."
"DCG_VO_kanna_single_target_damage_07"	"I want to hear you beg."
"DCG_VO_kanna_single_target_damage_08"	"You should have pledged your loyalty to me."
"DCG_VO_kanna_single_target_damage_09"	"Kneel."
"DCG_VO_kanna_single_target_damage_10"	"I'm going to watch you bleed."
"DCG_VO_kanna_multi_damage_small_01"	"You call this an army?"
"DCG_VO_kanna_multi_damage_small_02"	"You thought you could stop us?"
"DCG_VO_kanna_multi_damage_small_03"	"This is what you brought to stop me?"
"DCG_VO_kanna_multi_damage_small_04"	"Too easy."
"DCG_VO_kanna_multi_damage_small_05"	"Away with you."
"DCG_VO_kanna_multi_damage_small_06"	"You bore me."
"DCG_VO_kanna_multi_damage_small_07"	"Where's a real challenge?"
"DCG_VO_kanna_multi_damage_small_08"	"How many of you do I have to kill..."
"DCG_VO_kanna_multi_damage_small_09"	"I'll slaughter you all."
"DCG_VO_kanna_multi_damage_small_10"	"All who face me will die."
"DCG_VO_kanna_multi_damage_large_01"	"I sacrifice you as tribute!"
"DCG_VO_kanna_multi_damage_large_02"	"This is the will of the Ancient!"
"DCG_VO_kanna_multi_damage_large_03"	"Gaze upon the power of the Dire!"
"DCG_VO_kanna_multi_damage_large_04"	"This is the might of the Dire!"
"DCG_VO_kanna_multi_damage_large_05"	"Only death awaits."
"DCG_VO_kanna_multi_damage_large_06"	"Let your blood appease the ancient..."
"DCG_VO_kanna_multi_damage_large_07"	"This is the beginning of the end..."
"DCG_VO_kanna_multi_damage_large_08"	"You all will scream."
"DCG_VO_kanna_multi_damage_large_09"	"Your screams will echo for eternity."
"DCG_VO_kanna_multi_damage_large_10"	"ALL OF YOU WILL DIE!"
"DCG_VO_kanna_pleased_01"	"Good."
"DCG_VO_kanna_pleased_02"	"No one can stop us."
"DCG_VO_kanna_pleased_03"	"Glory awaits."
"DCG_VO_kanna_pleased_04"	"As I planned."
"DCG_VO_kanna_pleased_05"	"Praise be to the Dire."
"DCG_VO_kanna_pleased_06"	"What a glorious day."
"DCG_VO_kanna_pleased_07"	"This is too perfect."
"DCG_VO_kanna_pleased_08"	"Gaze on my army!"
"DCG_VO_kanna_pleased_09"	"Nothing can stop us."
"DCG_VO_kanna_pleased_10"	"This pleases me..."
"DCG_VO_kanna_concerned_01"	"I won't be defeated..."
"DCG_VO_kanna_concerned_02"	"This is a test..."
"DCG_VO_kanna_concerned_03"	"I won't show weakness..."
"DCG_VO_kanna_concerned_04"	"They think they won, but I'll show them..."
"DCG_VO_kanna_concerned_05"	"I never surrender..."
"DCG_VO_kanna_concerned_06"	"I need to think fast..."
"DCG_VO_kanna_concerned_07"	"How did things spiral out of control..."
"DCG_VO_kanna_concerned_08"	"I need to regain control..."
"DCG_VO_kanna_concerned_09"	"This is concerning..."
"DCG_VO_kanna_concerned_10"	"I underestimated you..."
"DCG_VO_kanna_angry_01"	"Serve me!"
"DCG_VO_kanna_angry_02"	"Obey!"
"DCG_VO_kanna_angry_03"	"All who oppose me will be destroyed!"
"DCG_VO_kanna_angry_04"	"You'll pay."
"DCG_VO_kanna_angry_05"	"I won't be denied."
"DCG_VO_kanna_angry_06"	"My army will crush you!"
"DCG_VO_kanna_angry_07"	"I will drown you in blood!"
"DCG_VO_kanna_angry_08"	"You're going to beg for me to kill you."
"DCG_VO_kanna_angry_09"	"Surrender now!"
"DCG_VO_kanna_angry_10"	"You were a fool to come here!"
"DCG_VO_kanna_arrogant_01"	"I am the Dire's chosen!"
"DCG_VO_kanna_arrogant_02"	"No one will deny me my destiny."
"DCG_VO_kanna_arrogant_03"	"I was born for greatness."
"DCG_VO_kanna_arrogant_04"	"I will change history."
"DCG_VO_kanna_arrogant_05"	"The world will never be the same."
"DCG_VO_kanna_arrogant_06"	"My power only grows..."
"DCG_VO_kanna_arrogant_07"	"Oh the things I will do to you..."
"DCG_VO_kanna_arrogant_08"	"I was chosen by the Dire."
"DCG_VO_kanna_arrogant_09"	"I alone am fit to rule."
"DCG_VO_kanna_arrogant_10"	"My army is unending..."
"DCG_VO_kanna_enigmatic_01"	"I'll build an empire on the ashes of the Radiant."
"DCG_VO_kanna_enigmatic_02"	"You have no idea what the Dire is capable of..."
"DCG_VO_kanna_enigmatic_03"	"Once I was weak... no longer."
"DCG_VO_kanna_enigmatic_04"	"People only respect what they fear..."
"DCG_VO_kanna_enigmatic_05"	"The Dire has given me wisdom."
"DCG_VO_kanna_enigmatic_06"	"The Dire will show me the way."
"DCG_VO_kanna_enigmatic_07"	"Only few are worthy of this power."
"DCG_VO_kanna_enigmatic_08"	"Your world is about to crumble..."
"DCG_VO_kanna_enigmatic_09"	"We will control the battlefield..."
"DCG_VO_kanna_enigmatic_10"	"Follow my command."
"DCG_VO_kanna_death_01"	"<i>Screams</i>"
"DCG_VO_bristleback_intro"	"I never went to some fancy military school to learn how to beat a man half to death... that's what bars were for. "
"DCG_VO_bristleback_heroric_resolve_intro"	"The world is a like a 280 lbs belligerent walrus man - it's not just gonna try to beat you down, it's gonna try to beat you while you're down. So when that metaphorical, or in my case very literal, walrus man starts stalkin' towards ya - you only got one option: pick yourself up and punch that bastard in the face."
"DCG_VO_bristleback_pick_a_fight_intro"	"It takes a lot to get me mad - ok that's a lie, I'm always mad. It takes a lot to make me wanna fight someone- yeah, that's not true either - I- oh to hell with it, let's be honest I like punching people."
